"question_clean","answer_clean"
"Всем доброго вечера. Если кто-то в теме, есть в Узбекистане VPS/VDS хостинг 5 GHz?","Я использую стабильные сервера. Не отключался где-то 3 года."
"Привет, в Узбекистане не работает DNS от Google? Не срабатывает корпоративный ВПН, в то время как в России все работает отлично.","В Узбекистане у Google есть собственные сервера. Он работает лучше всего."
"У кого-нибудь были трудности с переводом средств с работы в Европе в Россию из-за гражданства РФ? Есть ли советы, как снизить риск интенсивной проверки со стороны compliance-отдела?","Смотря какие положения действуют при отправке средств, если ты сотрудник компании и действуешь на законодательной основе, то нужно искать подходящие варианты — уверен, что они есть. Если же это физическое лицо, лучше найти доверенного человека и провести транзакцию через него."
"У кого-нибудь были трудности с переводом средств с работы в Европе в Россию из-за гражданства РФ? Есть ли советы, как снизить риск интенсивной проверки со стороны compliance-отдела?","Конечно, есть. Чем крупнее организация, тем больше проверок по комплаенсу.  

Два варианта решения:  
- оформить паспорт другой страны, поскольку российское законодательство это не запрещает;  
- зарегистрировать юрлицо, например, в Узбекистане. Стоит ли работодателю согласиться на такую схему, нужно уточнять."
"У кого-нибудь были трудности с переводом средств с работы в Европе в Россию из-за гражданства РФ? Есть ли советы, как снизить риск интенсивной проверки со стороны compliance-отдела?","Вы под санкциями или планируете получать миллионы долларов? Если нет, то, скорее всего, проблем не будет. Мне Apple без проблем перевела деньги на узбекский счёт."
"У кого-нибудь были трудности с переводом средств с работы в Европе в Россию из-за гражданства РФ? Есть ли советы, как снизить риск интенсивной проверки со стороны compliance-отдела?","У меня работодатель в Европе, счёт и гражданство в РФ, я живу в Ташкенте. Никаких проблем с переводами, если банк не под санкциями."
"Спасибо за развёрнутый ответ. Про паспорт: где можно быстро сделать?","Нигде. Всё же даже."
"Спасибо за развёрнутый ответ. Про паспорт: где можно быстро сделать?","Если у вас есть крупная сумма денег, можно вложить её в некоторые страны, и в обмен получите паспорт."
"Здравствуйте. Ищем разработчиков блокчейн/Solidity/Rust. Можете порекомендовать кого-нибудь, кто работает в Ташкенте?","Как насчёт провести интенсив по Solidity?"
"Кто-нибудь знает, какая средняя зарплата у Java-разработчиков уровня middle в Ташкенте? На что стоит ориентироваться?","Все зависит от компании — местной или иностранный. Недавно в Анорбанк предлагали позицию Java-разработчика. Если не ошибаюсь, стартовая зарплата составляла 35 млн сум."
"Здравствуйте. Кто-нибудь из присутствующих сталкивался с проблемами подключения к VPN и прокси? Кто-то может помочь мне?","А что за проблема?"
"Привет! Когда и где?","Сегодня в 8 бар Шишка"
"Привет! Когда и где?","</think>"
"Привет. Подскажите, пожалуйста, какой средний уровень зарплат у middle-frontend в Узбекистане?","Можете посмотреть, например, тут @itjobstashkent"
"А пробовал кто-нибудь ShadowSocks? Говорят, даже китайский файрвол прошивает, а DPI вообще не по зубам","Попробовал, отлично работает, можно настроить всего одной командой, просто через docker run"
"Привет! Кто-нибудь хочет завтра утром съездить в Grace Garden на весь день? Такси 30 минут стоит 25 000 сум, тапчан на целый день — 100 000 сум. Не знаю, как он выглядит, но можно взять тапчан у басика, там можно отдохнуть. По желанию можно взять ноутбук и поработать. Если интересно — пишите.","Топчик. Жаль, что на совещаниях надо быть, не уверен в их интернете."
"Привет! Кто-нибудь хочет завтра утром съездить в Grace Garden на весь день? Такси 30 минут стоит 25 000 сум, тапчан на целый день — 100 000 сум. Не знаю, как он выглядит, но можно взять тапчан у басика, там можно отдохнуть. По желанию можно взять ноутбук и поработать. Если интересно — пишите.","Вы можете уточнить, есть ли свободный тапчан 1 мая? Я звонил 30 апреля, мест не было."
"Где посмотреть список ИТ-митапов и мероприятий? Где обычно проходят? Какие площадки и формат?","Митапы нужно создавать — их сейчас очень мало, и они не проводятся регулярно."
"Где посмотреть список ИТ-митапов и мероприятий? Где обычно проходят? Какие площадки и формат?","Коворкинги часто устраивают"
"Где посмотреть список ИТ-митапов и мероприятий? Где обычно проходят? Какие площадки и формат?","Нет такого места, где есть весовой список. Но митапы есть, и их проводят в этих сообществах. Здесь проводятся доклады на русском, узбекском и английском языках.  
@ml_iut_club  
@gdgtashkent  
@UzPythonMeetup  
В основном доклады здесь на узбекском.  
@UzGeeksCommunity"
"А как насчёт площадок? Может, у какой-то ИТ-компании есть конференц-зал или какие-то организации предоставляют это недорого или за движение?","Мы недавно проводили митап по Python, так как мероприятие было бесплатным, @innotechnopark предоставило место бесплатно. А среди тех, кто присутствовал, было самое дешёвое место."
"А в Аструме не были? Там немного далеко, но очень хорошо. Можно поговорить с владельцем о цене — он предлагал даже бесплатно, если будет что-то интересное. Плюс рядом университеты: Инха и Амити. Если что-то совпадёт с нашим стеком или будет общее, можем у нас. Там точно бесплатно будет.","Ваш стек и ""у нас"" требуют раскрытия."
"ИТ-Парк — это хорошо. Но жизнь должна быть и без него. Любая компания с хотя бы минимальной стратегией задумывается: а что, если ИТ-Парк изменит условия? Откуда брать сотрудников? Какой у них опыт? Часто в ИТ-Парках работают уже большие компании, которым нужны опытные специалисты. Но где взять этот опыт? В России много маленьких компаний, которые берут студентов и начинающих, обучают их и дают практику. Через пару лет эти специалисты либо уходят дальше, либо остаются в компаниях. Такие компании обычно не нужны ИТ-Парку. Получается, что в какой-то момент возникает вакуум — не совсем понятно, почему так.

Как сотрудник, я тоже задаю себе вопрос: а если мне не понравится работа у резидентов ИТ-Парка? Где я буду работать? Смогу ли открыть собственную компанию или работать удалённо? С кем буду общаться и кто будет со мной сотрудничать? Думаю, у каждого разработчика в России есть друзья-фрилансеры или другие специалисты, которые ушли из компаний и теперь работают на международных проектах или открыли собственные.

В итоге большое сообщество и множество небольших компаний развивают специалистов, которые позже могут быть интересны крупным компаниям в ИТ-Парке.","Уговорил"
"На счёт оплаты: видел, как в магазине через Payme с телефона сразу через штрих-код платили. Так везде в супермаркетах можно? Или только в избранных?","Пейми не очень, там нет кэшбэка."
"На счёт оплаты: видел, как в магазине через Payme с телефона сразу через штрих-код платили. Так везде в супермаркетах можно? Или только в избранных?","В Payme есть раздел «оплата на месте». Если магазин попадает в это число и работает с Payme, можно через него платить."
"На счёт оплаты: видел, как в магазине через Payme с телефона сразу через штрих-код платили. Так везде в супермаркетах можно? Или только в избранных?","Это сделано через временный личный QR-код с Клика."
"Всем привет. Кто как решил вопрос с медицинской страховкой? Кажется, что если живёшь больше двух месяцев, то покупать русскую туристическую не самый оптимальный вариант.","В медицине возникают сложности, лучше выбирать специалистов для конкретных проблем"
"Всем привет. Кто как решил вопрос с медицинской страховкой? Кажется, что если живёшь больше двух месяцев, то покупать русскую туристическую не самый оптимальный вариант.","Перед поездкой оформили страховку Тинькоф на месяц. Когда воспользовались, то пожалели. Приехала скорая из частной клиники. Ощутили непрофессионализм."
"Подскажите, а на 1000 долларов можно прожить одному человеку (включая аренду квартиры и коммунальные платежи)?","Цены на аренду квартир немного выросли — 300–400 долларов. Коммунальные услуги и интернет обошлись в $50. Если готовить самостоятельно, расходы на питание составят $200–300."
"Подскажите, а на 1000 долларов можно прожить одному человеку (включая аренду квартиры и коммунальные платежи)?","Прожить можно на любые деньги и на 100 баксов в месяц. Зависит от вас. Приживётесь, расходы упадут."
"Подскажите, а на 1000 долларов можно прожить одному человеку (включая аренду квартиры и коммунальные платежи)?","Добрый вечер.  
Если арендовать квартиру за $300–400, такси и еда — $500, а остальные расходы — $100. Если добавить туда поездки примерно за $200, одежду и салон за $100–200, то средств явно не хватит. Один человек лучше покупает готовые блюда — в меню разнообразие, цены разные: за 100 тысяч можно три порции, за 200 тысяч — итальянское или японское."
"Где можно посмотреть футбол ночью? В каких пабах или кафе?","1) Irish Pub  
2) Pub Kebab"
"Где можно посмотреть футбол ночью? В каких пабах или кафе?","На время чемпионатов все бары на улицах транслируют проекторами до победного"
"ИТ-парк работает сегодня, кто-нибудь знает?","Смотря в каком городе"
"Добрый день. Нужно распечатать документы. Работают ли сегодня какие-либо конторы, где можно это сделать?","Фотостудии, интернет-кафе, копи-центры работают."
"Добрый день. Нужно распечатать документы. Работают ли сегодня какие-либо конторы, где можно это сделать?","Добрый, приезжайте ко мне, распечатаю. Мирабадский рынок, Капитал банк. Пишите в личку"
"Как удобнее всего пополнить карту Яндекс.Денег с российской карты? Через Золотую Корону или есть ещё способы?","Можно через Апельсин?"
"Как удобнее всего пополнить карту Яндекс.Денег с российской карты? Через Золотую Корону или есть ещё способы?","Пополняем сейчас через золотую корону"
"Ребята, у вас кроме еды и т.д. есть другие заботы? Кунг-фу панда уже отдыхает.","О чём ещё можно поговорить в Ташкенте?"
"Добрый день! Представляете в каком плане?","Официально"
"Ребят, где можно купить криптовалюту в Ташкенте? Могу обменять свои доллары в пропорции 1 к 1 на USDT","Анриал"
"Столкнулся с проблемой, связанной с сим-картой. По прилёту оформил туристический тариф в МобиУз, который, как оказалось, действует всего 90 дней. В техподдержке сказали, что без ВНЖ нельзя оформить обычную, не туристическую сим-карту. К телефону привязан как минимум аккаунт в банке. Кто-нибудь сталкивался с такой проблемой? Может, посоветуете, как разобраться?","Неправду вам сказали про ВНЖ. С обычной регистрацией все получали туристические сим-карты. Просто нужно сразу указывать, что нужна сим-карта для регистрации EMEI."
"Можно ли оформить нормальную симку при регистрации на полгода через арендодателя? И как быть с привязкой номера телефона — придётся ли заново его настраивать?","Да"
"Можно ли оформить нормальную симку при регистрации на полгода через арендодателя? И как быть с привязкой номера телефона — придётся ли заново его настраивать?","Нет, с именем уже ничего не нужно. Местный символ нужен только в момент регистрации. Далее можете любую вставлять, менять, что угодно."
"Можно ли оформить нормальную симку при регистрации на полгода через арендодателя? И как быть с привязкой номера телефона — придётся ли заново его настраивать?","Конечно, можно. IMEI нужно зарегистрировать один раз. После этого можно использовать любую SIM-карту."
"Сколько стоит такое удовольствие? Чтобы хотя бы сориентироваться.","Не знаю точно, если монтеры там не слишком опытные, то около ста-полутораста тысяч рублей на руки, а на практике всё зависит от обстоятельств, сложно сказать точно."
"Всем привет. Если пробыть в Узбекистане 95 дней по временной регистрации в съемной квартире, а потом на неделю съездить в другую страну, то потом впустят обратно в Узбекистан?","Да, я так приехал, регистрацию сделал, когда приезжал в декабре. Сейчас она всё ещё действительна, хотя я уезжал."
"Всем привет. Если пробыть в Узбекистане 95 дней по временной регистрации в съемной квартире, а потом на неделю съездить в другую страну, то потом впустят обратно в Узбекистан?","Вовсе без проблем"
"Таможенник, возможно, потребует пояснений. Кажется, для граждан России разрешено пребывание до 90 дней в течение 180 дней. Таможенник проверит штампы в паспорте и сообщит, что лимит исчерпан. 

Если у тебя есть временная регистрация, ты можешь жить, пока она действует. Но при выезде за границу она автоматически аннулируется.","Хм, у меня даже ничего не спросили нигде"
"Таможенник, возможно, потребует пояснений. Кажется, для граждан России разрешено пребывание до 90 дней в течение 180 дней. Таможенник проверит штампы в паспорте и сообщит, что лимит исчерпан. 

Если у тебя есть временная регистрация, ты можешь жить, пока она действует. Но при выезде за границу она автоматически аннулируется.","90 дней с последовательной регой, это не 180 дней, а сколько хочешь, если я правильно понял посыл."
"Таможенник, возможно, потребует пояснений. Кажется, для граждан России разрешено пребывание до 90 дней в течение 180 дней. Таможенник проверит штампы в паспорте и сообщит, что лимит исчерпан. 

Если у тебя есть временная регистрация, ты можешь жить, пока она действует. Но при выезде за границу она автоматически аннулируется.","Интересно, я впервые об этом слышу. Временная регистрация действует до даты, указанной в штампе паспорта. Путешествовать за границу можно без ограничений. Как только временная регистрация истекает, оформляется новая. Для россиян это 5 USD на полгода и необходимые документы."
"Арендодатель упомянул, что для регистрации в налоговой требуется флешка для ЭЦП. Подойдёт ли обычная флешка для этой цели?","Да, мне тоже в телегу кидали, там с установкой могут быть сложности, но в целом работает."
"Арендодатель упомянул, что для регистрации в налоговой требуется флешка для ЭЦП. Подойдёт ли обычная флешка для этой цели?","Они могут без проблем отправить ЭЦП на электронную почту, но перед тем как открывать, проверьте антивирусом"
"Всем привет. Есть желающие отметить окончание рабочей недели?","Привет! Есть желающие? Работа пока не отпускает."
"Всем привет. Есть желающие отметить окончание рабочей недели?","Networking?"
"Ребят, а сбор сегодня будет где-то? Раньше говорили про бар…","@oleguslee"
"А может, кто-нибудь знает, где здесь можно взять гитару напрокат? Или просто приехать поиграть? Собственная дома осталась, но руки чешутся, а голос рвется, особенно по пятницам.","Купи бывшее в употреблении, не будет дорого."
"А может, кто-нибудь знает, где здесь можно взять гитару напрокат? Или просто приехать поиграть? Собственная дома осталась, но руки чешутся, а голос рвется, особенно по пятницам.","В таких местах, где опен Мик, поспросить, думаю, что помогут."
"Есть ли в нашей команде кто-нибудь, занимающийся разработкой мобильных приложений?","Я создаю мобильные игры. Руковожу командой программистов, максимальный размер команды был 9 человек."
"Есть ли в нашей команде кто-нибудь, занимающийся разработкой мобильных приложений?","Занимаюсь разработкой бизнес-приложений на iOS для внутреннего использования."
"Есть ли в нашей команде кто-нибудь, занимающийся разработкой мобильных приложений?","я тут. Flutter Developer"
"А какие темы имеются в виду? Где можно найти информацию по ним?","Пока готовим регламент и разрабатываем программу встречи. В целом, знакомство и общение а-ля coffee&code"
"Есть кто-нибудь, кто разбирается в велосипедах? Хочу купить завтра. Нужно сбросить вес. Вопрос: что лучше — алюминий или сталь для рамы?","Вес сбрасывать лучше всего не спортом, а диетой."
"Есть кто-нибудь, кто разбирается в велосипедах? Хочу купить завтра. Нужно сбросить вес. Вопрос: что лучше — алюминий или сталь для рамы?","Если сбрасывать вес, то лучше чугунный."
"Ребят, а кто здесь на какой должности работает? 

Я бывший Java разработчик, а сейчас технический PM. Плюс немного занимаюсь low-code автоматизацией и HR-консультированием.","Фронтенд в криптостартапах"
"Ребят, а кто здесь на какой должности работает? 

Я бывший Java разработчик, а сейчас технический PM. Плюс немного занимаюсь low-code автоматизацией и HR-консультированием.","Фронтенд"
"Как в этой стране развита ИТ-индустрия? Приехал и ничего найти не могу. Возможно, это связано с тем, что формулирую запрос на русском, или на узбекском тоже пока ресурсов мало?","В зачаточном ИТ-секторе, всё ещё на ранней стадии"
