question,class,label
в каком таком ? что за зд?,0,0
"Кто знает, Циркус по каким дням принимает? Кто недавно был?",1,1
"Вторую от полиомиелита, точно? Она одна в год, потом лет в 6 ревакцинация",1,1
Что врач в таких случаях делает? Не хочется лекарствами пичкать,0,1
Отлично! На каком месте он будет? Надо его брать живьём),1,0
Ты еблан? Ты блять мое сообщение реплайнул,0,0
"Блять, чо вы так охуеваете? Это нормально, что девочка играет в терку...",1,0
А сколько по времени займет? Сильно дольше обычного?,1,0
что бл делать с этим лучом у мунлорда?? Он проходит через весь мир...,1,0
"Девушки, какие пельмени покупаете? Посоветуйте",1,1
Что все устройства в одной под сети? Как бы так и задуман работа моста,0,1
Это телефон которой поликлиники? Платной?,0,0
Голова болит? Самый доступный и сбалансированный маунт,1,1
Так где в итоге встреча? ,0,0
"Тань, а ты что заканчивала? Универ какой?))",1,0
"Девушки, болит невозможно низ  живота.. куда ночью с таким ехать ? Я в убуде",1,1
Почему все затихли? ,1,0
Что за книга? Какой у нее сюжет?,1,0
Хорошо постригла? Вам понравилось?,1,0
"На Фортуне продается, да? Кажется его сестра мне советовала..",1,1
"Вы сделали горку из кровати? Я одеяло подложила, вроде эту ночь лучше спали.",0,0
"Для кого? Ребёнок? Взрослый? Надо чтоб домой приехал, нет?",1,0
А где купить можно? В ашане? Что-то так рукколы захотелось...,1,1
зачем? ты пришла свой ярый транслировать?)),1,0
"Думаешь, и тут есть незнакомые слова? ",1,0
Гены? Или крепкие нервы?,1,0
Выгоняли? Понимаю их,1,0
это где интересно?   не замечаю,0,0
"оно денег стоит, зачем? ну то есть, да, подойдёт, но ваша цель сэкономить же?",1,0
Ну че серьезно? Опять никто?,0,0
"Как считаешь, древний андроед за 85 рублей это адекватный ценник или нет? ",1,0
там норм? не знаешь?,0,0
Зачем они за стереотипы борятся? Это уже глупо звучит,1,0
"Пустышки нет? Вы высыпаетесь, в ресурсе?",1,0
Когда вам нужно? И где ездить?,1,0
Покажусь навязчивой... А это что? Сайт?,1,0
Кто что делает? Пошлите пошатаемся??? Или завтра? Я свободна и сегодня и завтра.,1,0
Какая цена там ? Можно приводить на 3 часа ?,1,1
Я ебу блять откуда она? Я зашёл подрочить а не смотреть откуда она,1,0
Ну как  же?? За закусоном,0,0
"Кто в кооп пойдет ? ПК, Стим",1,0
Ты В нетрадиционный гороскоп веришь? ,0,0
Кто пайдё т играть в террарию? (через стим),1,0
я тебя убью щас) я тебе чо говорю? Что мы друзья! Ты все равно за это топишь ,1,0
В чей номер дала? ,0,0
А если отклеится? Неудобно как-то получится,0,0
"Ольга, а не знаете кого в Убуде? Забыла эпилятор дома. Очень пора!",0,1
нашествие марсиан когда начнётся ? после убийства одного из босов ?,1,0
"Девушки, подскажите, пожалуйста, купила билеты в Сингапур, а визу сделать не усеваю. Путешествую Бали-Сингапур-Бали с 17-19 декабря. Если взять билет в Куала Лумпур в один день с разницей в несколько часов для вылета из Индонезии и вернуться в Сингапур будет ли все хорошо? Кто-то делал так?очень хочется увидеть город и чтоб билеты не пропадали, уже выкупленные..))",0,1
