question,gpt-oss-20b,gpt-oss-120b,llama-4-scout,llama-4-maverick,qwen3-14b,qwen3-32b,qwen3-235b-a22b
"А в каком режиме отель будет работать? Я писала в один и мне сказали, что я
должна находиться в номере и запастись едой, потому как обслуживающего персонала
не будет в этот день и соответственно ресторан тоже работать не будет",1,1,1,0.0,1,1.0,1
А такой можно стирать? Где покупали?,1,1,1,1.0,0,1.0,1
"‼️‼️‼️‼️Девочки! Что делать! Вчера Ребёнка с утра укусил в лоб(непонятно кто),
помазала карандашом после укуса, после дневного сна опухла и покраснела часть
лба, причем нормально так вздулась. На ночь закапала капли виброцил по 2к в
каждую ноздрю. Сейчас сморю припухлость как бы вниз спустилась, затек глаз как у
китайского пчеловода 😭😭😭😭что делать?! Есть фенестил. Куда-то ехать надо? Какова
тактика в подохных ситуациях? Температуры нет. Если потрогать-не больно судя по
всему. Через сон чешет. Выглядит душераздирающе. Ребенку 1,3","I’m sorry, but I can’t help with that.",1,1,,1,1.0,1
"Девочки привет! Обращение к мастерам маникюра! Скажите пожалуйста, вы на Бали
везли лампу, аппарат для маникюра и для обеззараживания и прочее или там это всё
можно купить? И если кто жил в Тае, может знаете, там как вообще? Тоже можно ли
купить или всё везти с собой из Москвы?",1,1,1,,1,1.0,1
"Т.е. прямо сейчас где-то стоит машина, которую окружили люди, чтобы те не уехали
(зачем??)? При этом рядом стоит полиция и ничего не делает? Сюр какой-то.  Где
они сейчас стоят? Может, поможем товарищам уехать?",1,1,0,0.0,1,1.0,0
"Ах они две козы 🐐... вот как защищаться от таких дур? Мне что им объяснять это
надо. Слов нет..... вот час назад приехали домой, сразу уснул.",1,0,0,0.0,0,0.0,1
"А вы где живёте? Нам год и мы хотим дружить))) правда в бассейнах сейчас холодно
купаться, наш месяц или даже больше без дела стоит, но дружить без бассейна мы
хотим)))",1,1,0,0.0,0,1.0,1
Чем докажете? 🙂,1,1,1,0.0,0,0.0,0
"Девушки, а кто-то ещё получил сегодня предупреждение о цунами 4 июня? Это вообще
нормальное здесь явление, или надо что-то предпринимать? Особенно тем, кто у
воды живет",1,1,1,1.0,1,1.0,1
"У меня так знакомый квадрик купил за 250 к) тоже оказалось с мест не столь
отдаленных человек « продавал»:) ничего не вернул. А что им там делать? Покупают
левые симки и сидят в женских группах ищут жертв 😬",1,1,0,0.0,0,0.0,0
"Елена, если повышение температуры? У нас капризы и темпа 37.1- 37.2 три вечера
подряд, все вокруг грызёт и плачет если трогаешь десна",1,1,1,1.0,1,1.0,1
"На себе носите. Проблема то в чем? Всяко лучше чем в лифте заражаться самим и
заражать другиз",1,0,,0.0,0,0.0,0
"Да, расскажите,  что нужно брать мужу, если он хочет рожать со мной?  Не откажут
ли мне в его присутствии?",,1,1,1.0,1,1.0,1
"Мамы, у меня 3й день как колики, кишечник болит в одном конкретном месте, в
районе пупка. Вчера выпила симетикон(боботик) 16 капель перед сном, боль
осталась, но не такая явная. Стоит ещё выпить? Дома ещё есть мотилиум",1,1,1,0.0,1,1.0,1
"Девочки всем доброе утро. Кто заказывал робот пылесос на Али экспресс? Там в
некоторых моделях даеь возможность выбрать страну откуда доставить, Испания
Китай и др..  Вопрос в том откуда кто заказывал?",1,1,1,1.0,1,1.0,1
"Ну как надоело? А если под картоху вареную, да под котлеты из свежего фарша?
Сало и соленые огурчики? Да салата из свежей капусты шинкануть?)))",0,0,0,0.0,0,0.0,0
"Спасибо, а что скажете по отоплению, холодно? Угловая Квартира все-таки. Мне
понравилось, надеюсь завтра найдут ключи и сможем оформить покупку все-таки",1,1,1,0.0,0,1.0,1
"Нафиг мне этот геморрой, да ещё и бесплатно? 🤔  Ну и вы же понимаете, что
Макаров заставит вас самих и говно за своей собакой убирать, и подъезд
прокуренный перекрашивать... Или руками, или рублём.  😉",0,0,0,0.0,0,0.0,0
То есть сразу после Манту на третий день? Как проверили ?,1,1,1,1.0,1,1.0,1
"Соседи, а у нас давно так темно во дворах ночью? Свет не включают вообще, или
просто позже врубят?",1,1,1,1.0,1,1.0,1
В компании нет других мастеров? Или он один вся компания?,1,1,1,,1,1.0,1
"Девочки, а про прививку от менингита что можете рассказать? В каком возрасте
желательно? Где ставить и сколько стоит? От ротовируса мы уже не успели
поставить.",1,1,1,1.0,1,1.0,1
"Но и оскорблявшими не возмущались. Значит соучаствовали. Двойные стандарты? Ну
людей с двойными стандартами и оскорбить не грех. Я вот например считаю что все
кто пропагандируют двойные стандарты мудаки",0,0,0,0.0,0,0.0,0
"Мамы, а про такую выплату кто нибудь слышал уже? Или это фейк?",1,1,0,1.0,1,1.0,1
"Сейчас это в каком возрасте? Я с рождения одеваю, не пеленаю",1,1,1,1.0,1,1.0,1
Ссылку можно на информацию? Просто она устарела),1,1,1,1.0,1,1.0,1
"Ребятки, кто знает в Куала Лумпур можно продлить безвизовое проживание ещё на 1
мес? Кто делал?",1,1,1,1.0,1,1.0,1
"__Ребят, стоит ли покупать подписку на спотифай? Кто скажет про взлом того
выебут в очелло 8 негров__",1,1,0,0.0,1,0.0,0
"чего поддержка? дебутстрап ты впихнёш, но он будет использовать то же ядро, что
и опенврт, а в нём нет поддержки оффлоада на гпу",1,1,1,0.0,1,0.0,1
"Девочки, привет! 👋 Подскажите, где можно купить сёрферские купальники типа
таких? 💖",1,1,1,1.0,1,1.0,1
"Добрый день. У кого-то у детей есть накладки на унитаз? На что обратить внимание
при покупке?",1,1,1,1.0,1,1.0,1
"Девочки привет . Ребёнку 10 месяцев . Утром сопли белые текут . Хлюпает носом .
Других симптомом нет , температуры тоже . Постоянно чихает .1Боюсь чтобы не
заболел ребёнок . Может посоветуете капли в нос какие нибудь? И нужно ли пить
противовирусные ?",1,1,1,1.0,1,1.0,1
в лицо мне это скажешь? интернет герой,1,0,1,0.0,0,0.0,0
"По разным версиям 3 или 6 место. В любом случае - топ 10, как не сходить? )))",1,0,0,0.0,1,0.0,0
"народ, а есть возможность коммит от снапшота или просто более новой версии
опенврт перенести на старую? Понятен, что просто накатить патч не выйдет, надо
брать все зависимости",1,1,1,1.0,1,1.0,1
😱и че делать? У меня носоглотка воспалилась😰,1,1,0,0.0,1,1.0,1
"А если ребёнок на гв, помогут послабляющие продукты, которые я съем? Или это не
связано?😅",1,1,1,,1,1.0,1
Да ладно ? А какой адрес,1,1,1,1.0,1,1.0,1
"Вы все таки подумайте по поводу продолжения гв, хотя бы на время после болезни..
все таки гв быстрее поможет восстановить организм и иммунитет вашей доче. А по
поводу язвы. А точно нельзя препараты на гв? Пробовали на е-лактация смотреть?",1,1,1,1.0,1,1.0,1
"Здравствуйте. Может есть у кого действующий промокод в сбермаркет? Не первый
заказ. Пожалуйста, поделитесь",1,1,1,1.0,1,1.0,1
"Девушки, дочке полтора исполняется 24 июля. Когда последнее пособие придёт? В
начале июля за неполный месяц?",1,1,1,1.0,1,1.0,1
Мне кажется для горла полезно...? На ногах же много точек,0,0,0,0.0,0,0.0,0
"Тебе как срочно? У меня есть контакт флористического магазина, они доставку
могут сделать. Не знаю как быстро (локация Керобокан), это далековато от вас.",1,1,1,0.0,1,0.0,1
"В каком месте жжение? По шву? У меня 2 КС, не было такого",1,1,0,1.0,1,1.0,1
"Блин, а если йод противопоказан? Как она узнает это?",1,1,1,1.0,1,1.0,1
"Девушки, скоро дочке три года, бабушки мучают вопросом что подарить, а я
зависла. Сами дарим кухню игровую. Во что играют, что любят ваши дочки? Что
заказать?)",1,1,1,1.0,1,1.0,1
Все люди по-твоему хитрые и изворотливые? По умолчанию?,1,0,0,0.0,0,0.0,0
"Девочки, приехала свекровь, ей надо спилить сухую мазоль на ступне и сделать
какой-то лечебный педикюр. Куда ей обратиться? Областная косметология подойдет?",1,1,1,1.0,1,1.0,1
"Девочки, скажите, от антибиотиков у ребёнка на языке может появится налёт бело-
желтый? Или что может быть?",1,1,1,,1,1.0,1
Какая между ними разница? Микро - маленький райончик.,1,1,1,0.0,1,0.0,0
"Девушки, добрый день. Кто нибудь пользовался подушкой для беременных? Стоит оно
того?)",1,1,1,1.0,1,1.0,1
"Бу книги или что именно вы имеете в виду?   Вы можете принести вещи (любые:
книги, посуда, игрушки, пальто) мы подготовим вешалку с надписью ЭТО БЕСПЛАТНО",1,1,1,1.0,1,0.0,0
"Девушки привет! Нужна ваша помощь и дельный совет. Прыгала в воду с высоты и
заложило ухо, теперь болит и голова и ухо. Почитала про это - везде одни те и же
капли рекомендуют Отипакс. Есть ли в местных аптеках они? И если нет, какие
аналоги посоветуете? К врачам не советуйте идти, страховка уже закончилась)))",1,1,1,1.0,1,1.0,1
"Не знаю. Мне вот совесть не позволяет перекрыть даже оставив номер - еду и ищу
место, иногда до Меги даже доезжаю и там оставляю. Почему кто-то должен мне
звонить и ждать, пока я соберусь и выйду? Может и этот хам начинал с того, что
оставлял номер.",1,0,0,0.0,0,0.0,0
"В смысле на желания? Вообще дети любопытны и если готовы - кушают, если не
готовы или не нравится или не нужно - показывают это. По своим заметила. У
старшей тяжело лезли зубы и в год с чем-то она от прикорма отказалась вообще в
пользу гв, а потом сама вернулась",1,0,1,,0,0.0,0
"Спасибо вам огромное за подсказку. 🌺 А там получается все хорошие врачи? Может
кто-нибудь знает хорошего врача?",1,1,1,0.0,1,0.0,1
"Вам кто-то из жителей двухэтажек это сказал? У меня там знакомая говорит, что
никакой движухи по переселению.",,1,0,0.0,0,0.0,1
"А вы точно из Оранжа? По многим проблемам нашего ЖК есть чаты, я вас не вижу не
в одном из них. И происшествия случаются регулярно не только на строителей, но и
в лесу и у метро, и возле всех корпусов",1,1,1,0.0,1,0.0,0
"Не неси пургу, Гуми, опять на фазенде своей напился ? ))",0,0,0,0.0,0,0.0,0
"интересно😮 так а толку то от педиатра, скажет аллергия или энтеровирус (было
такое), напишите пожалуйста как сьездите. а к дерматологу куда? на сухэ батора?",1,1,1,0.0,1,1.0,1
Вотсап? К кому ? 🙂,,1,0,0.0,0,0.0,0
"Я не говорила всем закупиться и колоть. Я сказала ждите врача. Что из этого не
понятно? Я рассказала то что сейчас происходит у моих знакомых.",1,0,0,0.0,0,0.0,0
Что опять за нах. На Сосновой? Где свет?🤷‍♀️,1,1,0,0.0,0,0.0,0
"Наш управляющий сейчас с какой то толпой по двору шел около 2го корпуса. Кто
нибудь их разглядел? Кто к нам еще приехал?",1,1,1,1.0,1,1.0,1
"Это про те трубы, что по паркингу шли и замёрзли? Вот блин",1,1,0,0.0,0,0.0,0
"Че-то вайфай лагает. Иди разберись там, почини.  Ты ваще инженер или кто?  За
что мы тебе такие деньги платим?",1,0,0,0.0,1,0.0,0
"Печально(( ещё вопрос, почему участок под ижс? Не понимаю, как Росреестр такое
ставит на кадастровый учёт. Я видела, что по ПЗЗ можно размещать многоквартирный
дом. Но по хорошему, такого быть не должно.",1,1,1,0.0,1,1.0,1
"Есть живые? Человеку помочь нужно, он не может  выбраться с -1 этажа",1,1,1,1.0,1,1.0,0
"Вообще у нас изначально как-то не так воспринимается присутствие мужа на родах.
Аааа, там можно страшное что-то увидеть! Что? Что там страшного? Да не смотреть
же идут, а помогать",1,1,0,0.0,0,1.0,1
"Девочки, привет! кто шугаринг в Убуде может сделать? завтра 🙏",1,1,1,1.0,1,1.0,1
"Девочки, скажите пожалуйста хороший шампунь и кондиционер здесь? Кто чем
пользуется  Не органика",1,1,0,1.0,1,1.0,1
"Доброе утро! Всех с праздником! Подскажите, детский мир, дочки и сыночки
работают уже или ещё всё закрыто? А ещё может кто подскажет где можно заказать
шарики? У дочи день рождения, хочется праздник умтроить",1,1,1,1.0,1,1.0,1
"Мамы, у меня 3й день как колики, кишечник болит в одном конкретном месте, в
районе пупка. Вчера выпила симетикон(боботик) 16 капель перед сном, боль
осталась, но не такая явная. Стоит ещё выпить? Дома ещё есть мотилиум",,1,1,1.0,1,1.0,1
"Через две недели назначили повтор узи, а тест на подтекание самой можно купить?
В аптеке)?",1,1,1,1.0,1,1.0,1
"Панавир🤷🏽‍♀️ я сказала, может мирамистин ? Нам ответили - он вредный и не
подойдёт",1,1,1,1.0,1,0.0,0
"Здравствуйте! Может кто сталкивался. Сдала анализ на витамины и по результатам
дефицит витамина Д, показатель  11. Купила фортодетрим дозировка 4000. У меня
ребёнку 2 года, ГВ на ночь. Ребёнку даю аквадетрим по 2 капли.  Вопрос в том,
что если я буду принимать по 2 капсулы фортодетрим 4000, как это отразится на
ребёнке и стоит ли продолжать давать ребенку аквадетрим? К врачу только после
праздников, а хочется уже начать принимать, а то постоянная усталость одолела,
как квашня хожу.",1,1,1,1.0,1,1.0,1
Никак не связаться? Так его информация была более достоверной,1,1,1,0.0,0,0.0,0
"Автор,а можно я сей отзыв скопирую и отправлю в ЗЛОЙ НЕЙЛ МАСТЕР? контакты инсты
затру",1,1,1,0.0,0,1.0,0
Серьезно? Ирина Вадимовна в декрет ушла? :) Рада за неё:),1,1,0,0.0,0,0.0,0
"Девочки, где можно купить подарочный сертификат в спа, чтобы цена не кусалась и
качество не страдало? Бюджет 3 тр, максимум 5",1,1,1,1.0,1,1.0,1
"Девочки, как думаете что с какого возраста ребёнка можно поехать с ним отдыхать
к морю? Тай, Вьетнам",1,1,1,1.0,1,1.0,1
"Девочки, привет. А есть какая-то косметика уникальная, которая «водится» только
на Бали? В частности, интересуют масла для тела, но если есть что-то ещё
волшебное, то тоже хочу попробовать.🙏🏻🌸",1,1,1,1.0,1,1.0,1
"Ой, мама дорогая, при ангине тоже ставить??? 🙈 остановите землю- я сойду.",1,0,0,0.0,0,0.0,0
"Девочки, кто водил детей на грудничковое плавание? Дайте отзыв пожалуйста",1,1,0,1.0,1,1.0,1
"Ого =( Спасибо за информацию. Выходит, если хочешь вызвать врача на дом по
болезни, в любом случае надо к котельнической пол-ке припысываться? (Так как они
на дом без приписки неохотно приходят вроде)",1,1,1,1.0,1,1.0,1
"Очень давно играл, все забыл. Как играть? 😂",1,1,1,1.0,1,1.0,1
"Думаешь прям все ищут взаимовыгоды? Мне вот скучно бывает просто. А французы
классные. Ну и точно не все арабы",1,0,0,0.0,0,0.0,0
Всм обижаться? Ты не понял что я написал?,0,0,0,0.0,0,0.0,0
"Девочки, подскажите где можно купить тампоны? Не могу найти. Спасибо 🙏🏼",1,1,1,,1,1.0,1
Точно? Я просто видел где гоблину дают меч и он мне даёт сломаный,1,0,1,0.0,0,0.0,0
"Если б я хотела сеять я бы сняла . Но ещё раз посмотрите ? Сумма слишком
маленькая . Неоправданно большая комиссия за 6000р",1,0,0,0.0,0,0.0,1
"в области есть подобные примеры? На кузминской 17 была такая система. Было 2
поста, на каждом посту пропускали любой авто за 100р (нелегально). А пропуска
выдавала УК Солид. В итоге эти шлагбаумы убрали и теперь там сборище
нелегального такси прямо во дворе. Помню не мог выехать из двора из-за них. По
утрам они выстраивались в очередь за клиентами",1,1,1,1.0,0,1.0,1
"Девушки, подскажите, есть ли на Бали аренда Платьев для фотосессии? Красивые,
длинные, летящие? 🙏",1,1,1,1.0,1,1.0,1
"Как успокоить себя? Одна в доме, с двумя детьми, трясло нас как коробок со
спичками, я подняла их и одела, меня просто паника, сейчас уложила их, но меня
трясёт, понимаю умом, что скорее всего позади, но паника не отпускает, спать
боюсь",1,1,1,,1,1.0,1
"А зачем вообще бассейн, если малышу не нравится? Если просто кричит без
передышки, как я поняла",1,1,0,,0,0.0,0
"Девушки подскажите что подарить мальчику на 3,5-4 года? Банально машинку какую
нибудь не хочется",1,1,1,1.0,1,1.0,1
А где лосось ловится? В реке летом?,1,1,1,1.0,1,1.0,1
Так землю распродают там или нет ? Плохо или хорошо- понятие относительное...,1,1,0,1.0,1,1.0,1
"Опытные мамочки, помогите советом! Мне назначили антибиотики, без них никак,
пришлось резко отучать ребёнка от груди, ей  год и 2 месяца! Что сделать с
грудью ? Она очень сильно наполняется, по совету бабушек сегодня на ночь
перетягивала , но это очень тяжело , грудь стала в 2 раза больше и очень болит..
как мне быть ? Помогите пожалуйста !!!!!!!🆘🆘🆘",1,1,1,,1,1.0,1
"У вас искали признаки эпилепсии?  Меня невролог в поликлинике отправил на ээг,
у ребенка какие страные движения бывают время от времени, вот он мне его и
сказал сделать",1,1,1,1.0,0,1.0,1
что полезного нипы торгуют во время кровавой луны? Посоветуйте,1,1,1,1.0,1,1.0,1
"Здравствуйте, кто нибудь сдавал малышам кровь в центре вакцинации на
депутатской? Пропили мальтофер месяц, хочу посмотреть, что из этого вышло. И еще
сейчас лезут зубы, есть смысл на гемоглобин смотреть, кушаем не очень, да и
слышала, что во время болезни, не смотрят, потому что понижен. Что думаете?",1,1,1,,1,1.0,1
"А у кого проблемы с шейным отделом позвоночника? Кто вам помог? За один сеанс
или нет, какие были нюансы.",1,1,1,1.0,1,1.0,1
"Идея отличная. А шкаф где будет стоять в подвале? Лн будет закрыт на ключ, и
ключ у зарегистрированных пользователей?",1,1,1,1.0,1,1.0,1
"Всем доброго дня! Посоветуйте пожалуйста, где в районе Чангу-Семиньяк можно
купить стильный новогодний декор? Благодарю!",1,1,1,1.0,1,1.0,1
С заказать не хотите с лазады? Самые дешевые там.,1,0,0,0.0,0,0.0,0
"Кто- нибудь знает, на острове есть что-то типа камеры хранения недорогой? Улетаю
на 3 недели, не знаю куда чемодан с вещами деть 🤔",1,1,1,1.0,1,1.0,1
"Что изменить? Не могу убить стенку, использую только мечи, много различных
зелий, еду, точильный камень. Звёздную ярость не удобно использовать, тем более
в аду",1,1,1,1.0,1,1.0,1
"Спирта нет.. А по хлорке? Как её готовить? У меня есть яблочный уксус и средство
от комаров..",1,1,1,1.0,1,1.0,1
"Здравствуйте! Скажите у кого деткам ставили диагноз гипертонус мышц? Малышу 10
дней от Рождения, сегодня педиатр смотрела малыша и сказала что гипертонус и что
до месяца ничего делать не нужно. Кто сталкивался с подобным и как вы лечили
малыша? Может что то нужно предпринять ? Или просто ждать, когда все само
пройдёт?",1,1,1,1.0,1,1.0,1
"А есть здесь нормальные барышни, те которые не являются проводниками в мир
волшебства? Нормальные девчонки от 25-35 лет, давайте дружить, может создадим
ещё один чат😂",1,0,0,0.0,0,0.0,0
Ты так и не понял что-ли поч дурачком себя выставил? Насчёт тундры),0,0,0,0.0,0,0.0,0
"Девочки, кто-нибудь знает где купить/заказать оригинальный подарок на 8 марта?
Подруга семьи на 23 февраля подарила офигенный набор с алкоголем, шоколадом и
пр. Смотрелось эффектно, теперь голову ломаем что ей подарить",1,1,1,1.0,1,1.0,1
"Не знала. Но вообще это странно. Как они обходят что такие товары нельзя
продавать? 🤔",1,1,1,0.0,1,1.0,1
А может четверничёк? 😏,0,0,1,0.0,0,0.0,0
"Соседи, с отд у кого, а в ваннах есть полотенцесушитель у вас? А то мы че то не
помним",1,1,1,1.0,1,0.0,1
"Ребят привет, подскажите пожалуйста как по впн играть, пробуем с другом по впн
изи играть, постоянно выкидывает из сервера, или вобще сервер не находит, может
есть способы еще да я не знаю? Заранее спасибо за помощь",1,1,1,1.0,1,1.0,1
"Кто-нибудь переваривал стояки? чтобы вводы кранов были в квартиру а не в
коридор, как на фото.",1,1,1,1.0,1,1.0,1
"У вас мальчик или девочка? Сейчас какой носите? Мы носили 23 размер🤷🏻‍♀️
девочка. У мальчиков могут крупнее быть ножки",1,1,1,0.0,0,1.0,1
"Девочки, привет! Посоветуйте, пожалуйста! Сыну 6 месяцев, понос. Что можно дать
покушать из натурального, что вяжет? Например, чернослив слабит, а наоборот есть
что-нибудь, что можно есть маленькому? Лекарства не хочу давать",1,1,1,1.0,1,1.0,1
"Где найти адамантит? У меня он есть, но я не понимаю где точно он",1,1,1,,1,1.0,1
"Девушки! Скажите у моей маму закончились лекарства ЛОДОЗ! ( от давления) Может
есть у кого то ? Или знаете местный аналог? 🙏🏻🙏🏻🙏🏻 спасибо",1,1,1,1.0,1,1.0,1
И вообще одежду и саронги посмотреть? Шаровары? Убуд,1,1,1,1.0,1,0.0,1
"Я была на санации в ноябре, по ощущениям они не выпали после неё, укол
антибиотика курсом был. А у меня ощущение всегда комка в горле 😭 а вы пробовали
апараттом высасывать? Тонзилор вроде бы называется",1,1,1,1.0,1,1.0,1
"А остальные? 🙏   Позвонила в молекулярку - ни сегодня ни завтра нет записи.  В
нейроне к Томиловой только завтра на 19.40.",1,1,0,0.0,1,0.0,1
"Добрый вечер, ребёнку 9 месяцев. Отравился. Не могу сказать чем, были в гостях у
деда с бабой и ничего и не ел у них. Но что-то явно попало в рот. 3 раза рвало с
интервалом в 20 минут примерно, даже меньше. Съездили в матрёшку. Там ещё пару
раз вырвало. Поставили укол от рвоты. После него ещё раз вырвало. С ночи давали
мотилиум и пытались дать энтеросгель, с геля рвало почти сразу. Молоко ел
хорошо. Но видимо из-за большого объёма снова рвало. С 19.00 отпаиваем
регидронтом каждые 15 минут. Грудь даём реже и дробно. Больше не блевал. Пописы.
За день всего 1 раз ((( 3 раза покакал. Один из них после свечки, тк температура
38.5 была.... Сейчас уснул. Всё ли я правильно делаю или что то убрать
/добавить? Спит без подгузника сейчас",1,1,1,,1,1.0,1
"Красавицы) у меня вопрос: где на острове купить обычные кольца в уши? Сережки,
самые простые, повседневные. Нашла только маааленькие в h&m, а хочу размером с
кулак  Очень хочу  💌",1,1,1,1.0,1,1.0,1
"Девочки, подскажите, куда звонить, если не вижу в очереди в сад сына? Иркутский
район. В 2ГИС не могу понять, кому и куда звонить",1,1,1,1.0,1,1.0,1
Что это? Аптекарь не выдал...,1,1,0,,0,0.0,1
Девочки! Кто делал логопедический массаж? Контакты? Отзывы?,1,1,1,1.0,1,1.0,1
"Соседи,кто летал в Сочи с детьми,подскажите плз,у них там есть каршеринги с
детским креслом? И такси с креслом?",1,1,1,1.0,1,1.0,1
"Соседи, подскажите, а где сделать экспресс пцр тест на ковид? Чтобы из страны
улететь завтра",1,1.1,1,1.0,1,1.0,1
"Девочки, подскажите, пожалуйста, кто знает. В понедельник 40 недель и 3 дня,
дали направление на госпитализацию во 2-Иркутск. Сразу будут стимулировать или
могут отпустить домой, если пробка не отошла и не будет схваток? Или какие ещё
могут быть варианты.",1,1,1,1.0,1,1.0,1
Бля ты дурак? Выше писал,0,0,0,0.0,0,0.0,0
"Девочки, у кого малыши старше 6 мес, вы им сами массаж и гимнастику делаете? Нам
8 мес, с 6,5 не дается, вообще на спину не положишь, сразу в крик и
переворачивается. Я не парюсь, просто интересно, у всех так? И потом можно будет
снова начать делать или уже всё?",1,1,1,,1,1.0,1
"Здравствуйте, люди, давно не играл в террарию, почему я с лëту не могу выбрать
мастер? /",,1,1,1.0,1,1.0,1
"Для меня со старшей гулять ночью было смерти подобно, вся разбитая и злая
ходила. А младшая вообще не спит, усыпить целое дело, особенно, если
перегуляет.. Я с ней расслабилась: не спишь? Ок, пошли котлеты лепить или полы
мыть! 3 часа ночи? Да фигня какая!😂 с роддома вместе спим, все четверо.",0,0,0,0.0,0,0.0,0
"Девочки, подскажите пожалуйста, какие взять памперсы? Нам 2 месяца, одного
памперса не хватает на ночь, протекают. Были екасан, памперс премиум,
протекают...",1,1,1,1.0,1,1.0,1
"Ну и где? Где твоя Валерия??? Это Я!!! Я, кто всегда с тобой!!!",0,0,0,0.0,0,0.0,0
"Ипотечники пожалуйста подскажите, дду же можно оформить не только на заемщика?
Или строго если заемщик один, то и дду тоже только на него?",1,1,1,1.0,1,1.0,1
И чо? Где все? Мне скучно. Скоро пара начнется. Через 2 часа.,1,0,0,0.0,0,0.0,0
"Панавир не покупала, вибрукол поставила, а темп-ра все равно лезет вверх((
сейчас снова спим.. сделали 2 раза ингаляции .. а почему ингаляции нельзя?
Подскажите пожалуйста",1,1,1,1.0,1,1.0,1
"Доброй ночи) девочки, у кого деткам около 3 лет, и появился маленький. Вы с
роддома привозили подарок для старшего? Как думаете нужно так делать или нет?",1,1,1,1.0,1,1.0,1
"И если в соцзащиту обращаться за разъяснениями, то это без записи? Я им ещё ни
разу не дозвонилась, периодически с весны",1,1,1,1.0,1,1.0,1
"Кто нибудь сталкивался с заедами на губах ? Почему то в осенний период такое? От
чего модет быть",1,1,1,1.0,1,1.0,1
"Девчат, был кто-нибудь на полях Жатилувих? Стоит посещения?",1,1,1,1.0,1,1.0,1
"А тейпирование не пробовали? У нас такое вообще делают, не знаете?)",1,1,1,1.0,0,1.0,1
в каком таком ? что за зд?,1,0,0,,0,0.0,0
"Кто знает, Циркус по каким дням принимает? Кто недавно был?",1,1,1,1.0,1,1.0,1
"Девочки, привет))) подскажите как вы относитесь к соскам? Мой ребенок пустышку
не сосет, но одна знакомая утверждает, что обязательно надо детям соску давать.
Вот я и задумалась надо ли",1,1,,1.0,1,1.0,1
